Answer,RT,StimulusOr,Trial_type,DistractorOr,Block
163,1.74796390000847,175,100,30,5
25,1.59178439999232,17,100,-15,5
114,1.33901669998886,105,100,5,5
23,1.71965750001254,22,50,-30,5
137,1.65171689999988,141,100,5,5
77,2.79932649998227,85,100,15,5
125,3.2267756999936,136,0,0,5
163,1.78324389999034,173,50,-15,5
53,2.86695429999963,40,50,0,5
67,1.66285910000443,72,50,15,5
49,2.76234399998793,44,0,0,5
171,1.6623205000069,178,50,0,5
111,1.16241250000894,103,0,0,5
9,1.71837259997847,18,0,0,5
76,1.61033789999783,85,100,15,5
142,1.94239189999644,143,0,0,5
15,1.88983840000583,17,50,0,5
176,3.46206859999802,180,0,0,5
2,2.79381229999126,182,100,15,5
76,1.85413960000733,82,0,0,5
17,1.92992230001255,18,0,0,5
48,2.46993039999506,40,50,30,5
108,2.37741479999386,109,50,0,5
47,1.56550209998386,50,0,0,5
5,2.67367270000977,9,100,5,5
105,2.7492809999967,99,0,0,5
104,2.20063800000935,99,50,-15,5
102,1.28476849998697,96,100,-30,5
179,1.62994149999577,180,0,0,6
28,1.48269120001351,20,0,0,6
247,2.55745570000727,71,50,0,6
101,1.36999949999154,98,100,-5,6
131,1.06997869999032,115,100,30,6
143,2.1702770999982,145,0,0,6
136,2.16555929998867,142,50,0,6
51,2.32128530001501,55,0,0,6
69,1.14946879999479,72,100,-30,6
39,1.95347370000673,41,100,30,6
110,3.70121590001509,113,0,0,6
64,1.77687750000041,66,0,0,6
33,2.62942019998445,21,50,0,6
43,1.50512410001829,44,100,-5,6
21,2.06846039998345,13,0,0,6
149,1.43333490000805,151,50,5,6
49,0.829037200019229,105,50,-5,6
25,1.89654509999673,21,100,-5,6
141,1.42041660001269,134,0,0,6
3,1.03999060002388,184,50,0,6
5,2.38854749998427,184,50,-5,6
54,3.16025220000301,36,0,0,6
160,1.20379560001311,170,0,0,6
247,1.99206800002139,65,100,30,6
14,1.35613329999615,182,100,15,6
31,2.63226919999579,20,100,-30,6
121,2.17118230002234,125,100,15,6
97,2.95957109998562,99,0,0,6
105,3.23560159999761,105,50,0,6
78,1.21535159999621,82,50,-15,6
46,1.43477190000704,47,50,0,6
17,3.18316649997723,17,50,30,6
131,1.4033294999972,126,100,-5,6
43,1.39089909999166,44,50,-30,6
161,1.85839609999675,175,100,30,6
62,1.67044620000524,66,0,0,6
