Answer,RT,StimulusOr,Trial_type,DistractorOr,Block
10,3.79549369995948,172,100,-80,5
41,2.60010479995981,39,100,31,5
156,2.14037420006935,164,100,61,5
49,1.62506589991972,39,100,57,5
38,2.71815410000272,9,100,-70,5
41,2.19400810007937,38,100,-31,5
73,2.28675379999913,76,100,-40,5
69,1.1155644999817,55,100,71,5
111,2.67205920000561,115,0,0,6
63,3.02813039999455,79,0,0,6
120,2.19331160001457,120,0,0,6
32,2.45385150006041,29,0,0,6
35,2.31502090010326,38,0,0,6
76,1.37527570000384,77,0,0,6
56,1.17188979999628,37,0,0,6
68,3.9927875000285,60,0,0,6
67,3.24488519993611,77,0,0,6
77,2.48976159992162,84,0,0,6
78,3.53441670001484,79,0,0,6
159,2.36332219990436,166,0,0,6
114,2.88718570000492,114,0,0,6
65,1.307788599981,57,0,0,6
32,3.19275299995206,13,0,0,6
69,1.85293749999255,78,0,0,6
153,3.76947699999437,157,0,0,6
121,1.54238359990995,120,0,0,6
126,1.86674249998759,119,0,0,6
48,1.32711110007949,40,0,0,6
136,2.01987680001184,130,0,0,6
122,2.24881180003285,125,0,0,6
153,1.98107930005062,164,0,0,6
73,2.33771670004353,75,0,0,6
38,1.73428540001623,29,0,0,6
41,2.75524000008591,29,0,0,6
20,2.53543219994754,13,0,0,6
113,2.36381639994215,110,0,0,6
115,3.42459820001386,114,0,0,6
137,1.62074300006498,141,0,0,6
122,3.24131930002477,119,0,0,6
26,3.39840079995338,12,0,0,6
