Answer,RT,StimulusOr,Trial_type,DistractorOr,Block
132,3.68645700000343,134,100,-15,1
37,3.07760220000637,23,50,15,1
82,2.90896390000125,77,100,5,1
24,2.77253310001106,33,100,-15,1
146,2.45931379997637,144,0,0,1
69,2.21849670002121,67,50,0,1
154,2.90580580002279,157,0,0,1
163,2.71318309998605,161,100,5,1
122,2.8009277000092,134,50,-5,1
36,1.79164919999312,33,100,-30,1
25,2.05493859999115,9,100,-15,1
28,1.59835569999996,8,50,5,1
128,2.43755859998055,145,0,0,1
158,1.6931598999945,160,100,5,1
115,2.24386919999961,111,0,0,1
99,2.63490600002115,98,100,15,1
82,1.86658959998749,80,100,15,1
65,2.64977740001632,66,50,-15,1
11,1.71337440001662,12,50,0,1
70,1.94351359998109,73,0,0,1
168,1.59926240000641,169,0,0,1
163,3.7184522000025,170,100,-15,1
146,2.6864016999898,160,50,0,1
111,3.22165350001887,114,100,30,1
55,2.53223680000519,44,50,15,1
123,1.63568429998122,122,50,-30,1
73,1.64287929999409,71,100,15,1
23,1.24209159999737,34,0,0,1
74,1.92155999998795,71,0,0,1
60,2.04232169999159,45,50,15,2
144,3.04149619999225,150,50,0,2
36,2.5364653999859,40,0,0,2
76,2.00782530001015,77,50,-30,2
8,1.66317059998983,7,100,5,2
7,1.46276319999015,7,100,-15,2
105,2.47772860000259,131,50,-15,2
77,1.80443340001511,64,100,-5,2
74,2.41210649997811,61,0,0,2
141,2.35505489999196,139,50,-15,2
49,1.68296960002044,53,100,-5,2
11,1.58623640000587,10,100,30,2
149,2.59285849999287,147,0,0,2
159,2.22465380001813,157,0,0,2
86,3.7598372999928,83,0,0,2
36,2.35877019999316,6,100,30,2
27,2.49456309998641,17,100,5,2
161,2.24554340000032,161,100,5,2
153,1.98087460000534,150,100,30,2
76,1.51618350000354,68,0,0,2
26,2.03519830000005,25,0,0,2
108,3.60258269999758,110,50,-15,2
117,2.11376559999189,115,0,0,2
152,3.79246349999448,154,0,0,2
70,4.12045439999201,73,50,0,2
81,2.23162480001338,83,100,5,2
154,2.15873339999234,162,100,15,2
80,1.82942739999271,80,50,0,2
108,3.3009858999867,101,50,0,2
108,3.24460630002432,106,100,5,2
18,1.8678307000082,27,50,-30,2
131,4.33078439999372,117,0,0,2
150,1.5303054000251,163,50,0,2
105,2.38551389999338,104,50,0,2
31,2.00121919999947,30,0,0,2
147,2.72827309998684,156,50,-5,2
61,2.98287869998603,67,50,-30,2
80,1.7983337000187,80,50,0,2
116,3.61345740000252,117,50,0,2
224,2.50902970001334,54,50,-30,2
78,3.60418609998305,80,100,-5,2
171,3.19519710002351,174,100,-30,2
73,2.2265625,60,50,15,2
139,3.52988309998182,115,0,0,2
48,2.15318190000835,34,0,0,2
125,3.08885150001151,119,100,-5,2
123,2.51152170001296,97,0,0,2
131,2.23047040001256,124,50,30,2
101,3.27792039999622,98,100,-5,2
161,3.57362770001055,151,50,30,2
155,2.69269979998353,151,100,-15,2
168,2.82714539999142,165,50,0,2
233,3.18713400000706,51,100,15,2
14,3.23446519998834,5,50,0,2
43,3.47386510000797,43,0,0,2
133,2.63305100001162,123,50,-30,2
56,3.04799620000995,61,100,15,2
28,1.98352660000091,29,0,0,2
136,2.23011819997919,144,50,0,2
149,2.07792690000497,157,0,0,2
59,3.03693329999805,68,0,0,2
109,2.80440399999497,114,100,-15,2
78,2.91502729998319,69,50,30,2
164,3.11442990001524,168,50,-15,2
130,3.01827709999634,132,100,-30,2
54,1.99382870001136,70,0,0,2
107,2.37640179999289,103,0,0,2
53,1.9678882000153,50,0,0,2
128,2.12682819998008,138,0,0,2
48,2.1979924000043,34,0,0,2
145,3.29403429999365,137,100,-5,2
151,2.53258130000904,154,0,0,2
99,1.73970829998143,98,100,15,2
64,2.83481110000866,58,0,0,2
146,4.17048599998816,142,50,0,2
149,2.06579989998136,154,50,5,2
71,4.07287350000115,77,100,5,2
69,3.83212630002527,66,0,0,2
21,2.44750969999586,9,50,30,2
172,3.3431508000067,172,0,0,2
256,2.57425789997797,68,0,0,2
108,4.50114010000834,126,0,0,2
115,3.02039309998509,114,100,30,2
105,1.67580090000411,103,0,0,2
138,3.19492190002347,115,100,15,2
65,4.04268660000525,66,50,0,2
64,2.00145660000271,70,0,0,2
8,2.52043490001233,17,100,5,2
172,1.63194069999736,174,0,0,2
35,2.03171979999752,39,50,-30,2
156,2.76590100000612,159,50,30,2
38,2.55746359998011,42,50,0,2
23,1.34853610000573,13,0,0,2
146,2.58009810000658,144,0,0,2
163,2.8112381999963,167,100,-15,2
262,3.09811869999976,83,100,-15,2
28,3.04170729999896,25,50,15,2
75,2.27341629998409,60,50,0,2
79,3.32057570002507,64,100,-30,2
45,2.17611120000947,54,50,0,2
122,2.38266030000523,109,0,0,2
73,2.81387920002453,71,100,15,2
9,2.69318750000093,10,100,30,2
33,3.12471919998643,55,50,0,2
164,2.36423420000938,171,50,5,2
67,2.96307870000601,65,0,0,2
170,3.28248210001038,169,100,-30,2
209,1.92956469999626,30,0,0,2
241,2.11286570000811,56,0,0,2
148,1.77627510001184,159,50,0,2
174,3.98311169998487,174,0,0,2
22,3.16691289999289,33,100,5,2
147,4.01412510001683,158,100,-30,2
85,2.91742959999829,79,50,15,2
163,2.46874319997733,171,50,0,2
151,3.65163400000893,141,100,5,2
41,3.92290459998185,36,100,30,2
134,2.88219720000052,126,0,0,2
151,2.53740929998457,156,100,-5,2
71,2.46521309998934,68,0,0,2
20,2.79157400000258,13,50,30,2
113,2.19067720000749,114,50,0,2
76,3.49435539997648,75,100,-30,2
22,2.01403089999803,20,0,0,2
